"ลำดับ","Item ID","ชื่อสินค้า","ราคาปัจจุบันต่ำสุด (บาท)","ราคาปัจจุบันสูงสุด (บาท)","ราคาเดิมต่ำสุด (บาท)","ราคาเดิมสูงสุด (บาท)","ส่วนลด","คะแนนสินค้า","จำนวนรีวิว","ขายแล้ว (ชิ้น)","สต็อกที่แสดง","หมวดหมู่","ตัวเลือกสินค้า","จำนวนตัวเลือก","จำนวนรูป","รายละเอียด (ย่อ)","URL สินค้า","โฟลเดอร์ข้อมูล/รูป","วันเก็บข้อมูล"
"1","50712224947","การ์ดทองมีมนตร์ 7เดือน7","359","359","","","","","0","3","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องเขียน หนังสือ และงานอดิเรก > ของที่ระลึก > พวงกุญแจ","","0","4","มีมนตร์ การ์ดมงคล แผ่นทอง โดยคุณกิ่งมีมนตร์ การ์ดแผ่นทองมีมนตร์ 7 เดือน 7 พญาศรีสัตตะนาคราช ( ลิมิเตด ) จัดสร้างพิเศษ เอกลักษณ์ของมีมนตร์ พกใส่กระเป๋าสตางค์ ติดหลังเคสโทรศัพท์ พกติดตัว","https://shopee.co.th/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-7%E0%B9%80%E0%B8%94%E0%B8%B7%E0%B8%AD%E0%B8%997-i.35401261.50712224947?extraParams=%7B%22display_model_id%22%3A396062140435%2C%22model_selection_logic%22%3A3%7D","products/50712224947","2026-07-29T04:18:15.730Z"
"2","40072416686","น้ำหอมมีมนตร์ meemon หอมตัว และหอมกระเป๋า","499","1599","","","","5","5","6","จำนวน
สินค้าพร้อมส่ง","Shopee > ความงามและของใช้ส่วนตัว > อื่นๆ","ชนิด: หอมตัว 10ml 1ขวด | หอมตัว 10ml 3ขวด | หอมกระเป๋า 3ml","3","6","","https://shopee.co.th/%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-meemon-%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%95%E0%B8%B1%E0%B8%A7-%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2-i.35401261.40072416686?extraParams=%7B%22display_model_id%22%3A315986422253%2C%22model_selection_logic%22%3A3%7D","products/40072416686","2026-07-29T04:18:18.356Z"
"3","42581895245","มีมนตร์ การ์ดแผ่นทองพญานาค การ์ดมงคล 7เดือน7 และแผ่นยันต์หนังแท้","159","399","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องใช้ในบ้าน > อุปกรณ์ตกแต่งบ้าน > ธูป เทียน พระพุทธรูป และของเกี่ยวกับศาสนา","แบบ: แผ่นทองนาคาผงธูป | แผ่นยันต์หนังแท้","2","4","มีมนตร์ การ์ดมงคล แผ่นทอง และแผ่นยันต์ หนังแท้ โดยคุณกิ่งมีมนตร์ 1.การ์ดแผ่นทองนาคา บรรจุผงธูปมงคลทิเบต 2.แผ่นยันต์ หนังแท้พรีเมียม แผ่นหนังจากกระเป๋าสตางค์รุ่นซ่อนเงิน รุ่นที่เป็นเอกลักษณ์ของกระเป๋ามีมนตร์มากว่า 10 ปี นำแผ่นหนังของตัวกระเป๋า ที่ถือว่าเป็นบ้านของเงิน นำมาลงอักขร…","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%9C%E0%B9%88%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%9E%E0%B8%8D%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%84-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-7%E0%B9%80%E0%B8%94%E0%B8%B7%E0%B8%AD%E0%B8%997-%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B9%81%E0%B8%9C%E0%B9%88%E0%B8%99%E0%B8%A2%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B9%8C%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%97%E0%B9%89-i.35401261.42581895245?extraParams=%7B%22display_model_id%22%3A386093127512%2C%22model_selection_logic%22%3A3%7D","products/42581895245","2026-07-29T04:18:21.191Z"
"4","54812394246","กำไลประคำทิเบต จีน กำไลเศรษฐี กำไลมงคล สำหรับข้อมือไม่เกิน 16 cm. โดยกิ่งมีมนตร์ พร้อมซองหนังแท้","999","1599","","","","","0","2","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องประดับ > กำไล > จี้กำไล","แบบที่: TB1 พลังเงินต่อเงิน | TB2 เปิดทางโชคลาภ | TB3 คุ้มครองทรัพย์ | TB4 พลังเรียกเงิน | TB5 สำเร็จตามหวัง | TB6 น้ำเต้าดึงโชค | TB7 สำเร็จทุกทาง","7","12","กำไลอธิษจากวัดจีน ทิเบต พร้อมซองหนังแท้รุ่นลิมิเตด 7.7 มีติดโลโก้ดวงตาสามเหลี่ยมพีระมิด คละสี TB1 พลังดึงเงินต่อเงิน // ซองหนังคละสี TB2 พลังเปิดทางโชคลาภ // ซองหนังคละสี TB3 พลังคุ้มครองทรัพย์ // ซองหนังคละสี TB4 พลังเรียกเงิน คน ลูกค้า // ซองหนังคละสี TB5 พลังสำเร็จตามหวัง // …","https://shopee.co.th/%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%84%E0%B8%B3%E0%B8%97%E0%B8%B4%E0%B9%80%E0%B8%9A%E0%B8%95-%E0%B8%88%E0%B8%B5%E0%B8%99-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B9%80%E0%B8%A8%E0%B8%A3%E0%B8%A9%E0%B8%90%E0%B8%B5-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%99-16-cm.-%E0%B9%82%E0%B8%94%E0%B8%A2%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%97%E0%B9%89-i.35401261.54812394246?extraParams=%7B%22display_model_id%22%3A386074763764%2C%22model_selection_logic%22%3A3%7D","products/54812394246","2026-07-29T04:18:24.118Z"
"5","24805368805","ธูปเสี่ยงทายผ่านพิธีแล้ว#ธูปตัวเลข#ธูปเสี่ยงทาย","100","100","","","","5","12","28","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องใช้ในบ้าน > อุปกรณ์ตกแต่งบ้าน > ธูป เทียน พระพุทธรูป และของเกี่ยวกับศาสนา","","0","5","ธูปเสี่ยงทายผ่านพิธีแล้ว#ธูปตัวเลข#ธูปเสี่ยงทาย","https://shopee.co.th/%E0%B8%98%E0%B8%B9%E0%B8%9B%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%A2%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B9%81%E0%B8%A5%E0%B9%89%E0%B8%A7-%E0%B8%98%E0%B8%B9%E0%B8%9B%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B9%80%E0%B8%A5%E0%B8%82-%E0%B8%98%E0%B8%B9%E0%B8%9B%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%A2-i.35401261.24805368805?extraParams=%7B%22display_model_id%22%3A250140056679%2C%22model_selection_logic%22%3A3%7D","products/24805368805","2026-07-29T04:18:26.960Z"
"6","56159160409","สบู่สครับ น้ำมันหอมระเหย กลิ่นตระใคร้หอม ขนาด 30 กรัม","189","899","","","","5","4","5","จำนวน
1 ก้อน ไม่มีกล่อง
3 ก้อน ไม่มีกล่อง
5 ก้อน ไม่มีกล่อง
10 ก้อน ไม่มีกล่อง","Shopee > ความงามและของใช้ส่วนตัว > ผลิตภัณฑ์อาบน้ำและดูแลผิวกาย > ผลิตภัณฑ์อาบน้ำ","","0","4","สบู่สครับผสมน้ำมันหอมระเหยและตระไคร้หอมเป็นสบู่ที่มีคุณสมบัติในการทำความสะอาดโดยไม่ทำลายเซลล์ผิว นอกจากนี้ สบู่สครับยังมีสารบำรุงผิวพรรณจากน้ำมันหอมระเหยที่ช่วยในการเปลี่ยนผิวให้กระจ่างใส และมีสูตรที่ไม่มีสารอันตรายและเหมาะกับผิวที่แพ้ง่ายด้วยคุณสมบัติของสบู่สครับผสมน้ำมันหอมระเ…","https://shopee.co.th/%E0%B8%AA%E0%B8%9A%E0%B8%B9%E0%B9%88%E0%B8%AA%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%AB%E0%B8%A2-%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B8%B0%E0%B9%83%E0%B8%84%E0%B8%A3%E0%B9%89%E0%B8%AB%E0%B8%AD%E0%B8%A1-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-30-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-i.35401261.56159160409?extraParams=%7B%22display_model_id%22%3A310811542692%2C%22model_selection_logic%22%3A2%7D","products/56159160409","2026-07-29T04:18:36.054Z"
"7","48657427183","มีมนตร์ กล้วยหนึบ นาคีมีมนตร์","159","405","","","","","0","0","จำนวน
สินค้าพร้อมส่ง","Shopee > อาหารและเครื่องดื่ม > ขนม > ขนมแห้ง","กล่อง: 1 กล่อง | 2 กล่อง | 3 กล่อง","3","4","นาคีมีมนตร์ กล้วยหนึบ อบธรรมชาติ กิ่งทำเองนะคะ เปิดเป็นรอบๆ ค่ะ 1กล่อง 200 กรัม กล่องละ 159 ***ซื้อ 3 กล่อง คุ้มมากค่ะ 3กล่อง กิ่งให้ธูปตัวเลขมีมนตร์ 1 แพค [มี10ชิ้น]","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B8%9A-%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%B5%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-i.35401261.48657427183?extraParams=%7B%22display_model_id%22%3A405658961221%2C%22model_selection_logic%22%3A3%7D","products/48657427183","2026-07-29T04:18:38.912Z"
"8","41581805815","มีมนตร์ กำไลดวงตาทิเบต กำไลเปิดทาง 5 ธาตุ กำไลมงคลจากวัดเทือกเขาทิเบต โดยกิ่งมีมนตร์","1590","1990","1999","2599","-20%","5","2","2","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องประดับ > กำไล > อื่นๆ","สี: แดงเข้ม | ฟ้า | ชมพู | น้ำตาล | แดงสด | ม่วง | ดำ","7","8","กำไลดวงตาทิเบต กำไลเปิดทาง 5 ธาตุ กำไลมงคลจากวัดเทือกเขาทิเบต เดินทางทำการอธิฐาน ขอพร โดยคุณกิ่งมีมนตร์ แนะนำเลือกจากความหมายที่ต้องการเสริมนะคะ เพราะแตาละเส้นผ่านการอธิฐานที่เน้นเฉพาะเรื่องที่ต้องการเสริมค่ะ สวมข้อมือ หรือพกไว้ในกระเป๋าสตางค์ได้ค่ะ","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%94%E0%B8%A7%E0%B8%87%E0%B8%95%E0%B8%B2%E0%B8%97%E0%B8%B4%E0%B9%80%E0%B8%9A%E0%B8%95-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B9%80%E0%B8%9B%E0%B8%B4%E0%B8%94%E0%B8%97%E0%B8%B2%E0%B8%87-5-%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%97%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%97%E0%B8%B4%E0%B9%80%E0%B8%9A%E0%B8%95-%E0%B9%82%E0%B8%94%E0%B8%A2%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-i.35401261.41581805815?extraParams=%7B%22display_model_id%22%3A431074742377%2C%22model_selection_logic%22%3A3%7D","products/41581805815","2026-07-29T04:18:42.220Z"
"9","40476503649","มีมนตร์ กระเป๋าสตางค์ใบยาว หนังเทียมวีแกน กระเป๋ามีมนตร์[ รับทันที พวงกุญแจปี่เซี๊ยะมีมนตร์ ]","2699","2699","","","","5","8","16","จำนวน
สินค้าพร้อมส่ง","Shopee > กระเป๋า > กระเป๋าสตางค์ > กระเป๋าสตางค์ผู้หญิง","สี: ชมพู | เขียว | ดำ | น้ำตาล | เทา | ขาว","6","11","คอลเลคชั่นใหม่ กระเป๋าสตางค์ใบยาว ซิปแอล หนังวีแกน(หนังเทียม) ✨ กระเป๋าสตางค์ใบยาวหนังวีแกน ✨ พร้อมรับพวงกุญแจปี่เซี๊ยะมีมนตร์1999 กระเป๋าสตางค์ใบยาวทำจากหนังวีแกน ให้ความรู้สึกนุ่มและสบาย น้ำหนักเบา ออกแบบมาเพื่อใส่ธนบัตร ใส่การ์ด และใส่เหรียญ ให้การจัดเก็บง่ายและสะดวก ฟีเจอร์พ…","https://shopee.co.th/%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B9%83%E0%B8%9A%E0%B8%A2%E0%B8%B2%E0%B8%A7-%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%A1%E0%B8%A7%E0%B8%B5%E0%B9%81%E0%B8%81%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%97%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%B5-%E0%B8%9E%E0%B8%A7%E0%B8%87%E0%B8%81%E0%B8%B8%E0%B8%8D%E0%B9%81%E0%B8%88%E0%B8%9B%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%8B%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%B0%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C--i.35401261.40476503649?extraParams=%7B%22display_model_id%22%3A262167740707%2C%22model_selection_logic%22%3A3%7D","products/40476503649","2026-07-29T04:18:45.190Z"
"10","57260024730","[ ใหม่ ] มีมนตร์ กำไลมงคลศาสตร์จีน กำไลมีมนตร์ Meemon มี 9 แบบให้เลือกตามความต้องการ","990","1980","","","","5","1","10","จำนวน
สินค้าพร้อมส่ง","Shopee > เครื่องประดับ > กำไล > อื่นๆ","ความหมาย: 1.เรียกเงิน | 2.ดึงโชค | 3.สำเร็จ | 4.ป้องกันพลังลบ | 5.เมตตามหานิยม | 6.เปิดโอกาสใหม่ | 7.เร่งผลลัพธ์ | 8.เงินต่อเงิน | 9.บารมี อำนาจ | 1+7 เซทหาเงิน ปิดยอด | 1+5 เซทมหาเสน่ห์ | 2+8 เซทโชคลาภ | 1+4 ป้องกันพลังลบ","13","17","มีมนตร์ กำไลมงคลศาสตร์จีน กำไลมีมนตร์ Meemon มี 9 แบบให้เลือกตามความต้องการ ผ่านพิธี โดยคุณกิ่งมีมนตร์","https://shopee.co.th/-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C%E0%B8%88%E0%B8%B5%E0%B8%99-%E0%B8%81%E0%B8%B3%E0%B9%84%E0%B8%A5%E0%B8%A1%E0%B8%B5%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B9%8C-Meemon-%E0%B8%A1%E0%B8%B5-9-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3-i.35401261.57260024730?extraParams=%7B%22display_model_id%22%3A340884420288%2C%22model_selection_logic%22%3A3%7D","products/57260024730","2026-07-29T04:18:47.950Z"
